fingerprint,yield
4P///wAIAAALAAAAoO66LQKuPQAZAukAkQBJAokBIQA=,1
4P///wAIAAANAAAA6QQ9AU0CEPIELH4c3mUApQQkuQA=,1
4P///wAIAAAHAAAAKQhxAmEAGJUBKQYkuQA=,0.5
4P///wAIAAAKAAAAoFUBEQA8/QA9ABkCHQEOFQghAA==,0.6
4P///wAIAAAJAAAArQR5AcUADQLBAOTVAnb0uQA=,0.63
4P///wAIAAALAAAArQSFAHhZBDzBAOTRAgB29LkA,0.32
4P///wAIAAAHAAAAKQgRAZxmYgULHKkA,0.4
4P///wAIAAALAAAAtQIZACSG/Ar2RQAu1K4ZDA==,1
4P///wAIAAAOAAAApQOBAnEA/mEAGFkCdoUACDkAzgAiuQA=,0.03
4P///wAIAAALAAAACQNu8QJFAF0BCQNtAIRJAOYMuQA=,0.55
4P///wAIAAAKAAAA5QKAHQG5AljKOAkDVQMe1QI=,0.22
4P///wAIAAALAAAAKQhxAvJWlQFgVQM2kDwkuQA=,0.63
4P///wAIAAALAAAAWu0CgQJxAmEAGFkCxQPOACK5AA==,1
4P///wAIAAAFAAAA6QMVCQkGGQIMuQA=,0
4P///wAIAAAaAAAAAhaENQCcrlww8QBY3uwQYQBw7sYcxgECGPRWaCoWVg==,0.41
4P///wAIAAAdAAAAvoQpAGQyODgGHAkBMFp0vGQADphYBDYyPKkBxsUBNvTYgg==,1
4P///wAIAAAcAAAAoEy5AKZgPP0AWMQYQkLVAE4gSs4Q5NUCbAgOckwiVqBi,0.62
4P///wAIAAAdAAAAoHEBEBw0SEo8CQB4YNaGPQAOOj0B5IUCJAA+FgQYBuxWFO4=,0.93
4P///wAIAAAYAAAAAqRu/B6ophUBcQBOQr0APGQ+QQGGKuEBPIhqBk4JAA==,0.36
4P///wAIAAAcAAAAGoQc/JxkMjg4BkDBADAm3uwADhopAHCpAcY1AvTAKmYG,0.02
4P///wAIAAAdAAAAVkiiKQCYcjblADAdARJQEPJOXjKANuaYmoQdAB4OuCLAmg==,1
4P///wAIAAAdAAAAVgJEol0BquUAMB0BElAQ8q4ygD0AmCxsKQEeAgoEMnwkiNI=,0.83
4P///wAIAAAGAAAAMQA1Ar0BcQCtA6UJCQA=,0.04
4P///wAIAAANAAAAMQBkKQVxAGECfiRBAUUAfQGCcFYJAA==,0.45
4P///wAIAAAOAAAA/QBlAMECcQDlATx+jQFi/QKCcFaOdA==,0.5
4P///wAIAAAPAAAA/QACIQVxAJK9ADx+FGEBQQLAgnBWCQA=,0.3
4P///wAIAAALAAAAMQChAFEDcQBhAqRBAQixA/RWCQA=,0.05
4P///wAIAAANAAAAMQDVAB0DWN5hAqRBAQkAZQEo9FYJAA==,0.01
4P///wAIAAAPAAAAoHYM2QVYYnphAqRBAQkAuQEG7FYJAA==,0.08
