x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,yield
false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,0.05
false,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,true,true,0.14
false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,0.03
false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,0.07
false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,0.01
true,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,0.0
false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,0.0
false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,true,true,0.0
false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,0.36
false,false,false,false,false,true,true,false,false,true,false,true,false,false,false,true,false,false,0.0
false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,0.0
false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,0.0
true,false,false,false,false,true,true,false,false,true,false,true,false,false,false,true,false,false,0.0
false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,true,true,0.29
false,false,false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,1.0
false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,true,1.0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,1.0
false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,3.0
true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,0.0
true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,1.0
false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,true,0.0
