CHROMATOGRAM
(+)APCI_TDMAB_channel4_chain1.raw
Data points: 992
Time	Intensity
0.000203	747
0.003345	1312
0.006497	964
0.009640	0
0.012780	755
0.015925	561
0.019173	1269
0.022353	1397
0.025498	366
0.028640	1182
0.031782	1382
0.034925	1083
0.038067	812
0.041220	955
0.044453	901
0.047595	1043
0.050742	1008
0.053887	1473
0.057070	1015
0.060213	652
0.063367	212
0.066512	1853
0.069747	179
0.072888	259
0.076042	939
0.079183	982
0.082327	1139
0.085470	752
0.088613	870
0.091793	455
0.094938	816
0.098178	1260
0.101323	1398
0.104465	1236
0.107610	2499
0.110755	873
0.113898	1080
0.117050	1016
0.120202	841
0.123343	1033
0.126615	622
0.129757	538
0.132910	1414
0.136055	858
0.139200	1102
0.142347	1404
0.145492	726
0.148633	1164
0.151865	1525343
0.155018	1162849
0.158168	826508
0.161352	533498
0.164498	323318
0.167652	2092237
0.170800	1504499
0.173958	1161991
0.177108	813577
0.180350	571339
0.183500	915510
0.186647	2251572
0.189828	1495353
0.192985	1301276
0.196172	919946
0.199318	660508
0.202465	1497090
0.205720	1595345
0.208875	1204512
0.212032	912489
0.215182	623111
0.218330	1733647
0.221477	1569317
0.224642	1274613
0.227792	918585
0.231062	658108
0.234208	420383
0.237365	296267
0.240512	206472
0.243655	142695
0.246798	91247
0.249948	70668
0.253093	53948
0.256237	36698
0.259490	30475
0.262633	25853
0.265817	21599
0.268960	17085
0.272100	17163
0.275245	16946
0.278388	14772
0.281542	9857
0.284773	9462
0.287917	8248
0.291062	5902
0.294223	10219
0.297370	5536
0.300550	7206
0.303697	5019
0.306838	498633
0.310067	1631580
0.313228	1531260
0.316392	1062074
0.319545	746103
0.322692	508994
0.325835	344732
0.328988	239321
0.332215	174229
0.335398	117642
0.338540	82999
0.341682	57441
0.344827	39953
0.347972	27021
0.351125	23181
0.354268	17964
0.357410	14754
0.360645	14280
0.363788	1437085
0.366938	1486253
0.370135	1350669
0.373292	1092494
0.376440	732308
0.379590	490339
0.382737	327332
0.385897	234977
0.389128	147447
0.392275	103473
0.395422	72262
0.398572	58402
0.401715	36831
0.404893	29518
0.408045	20876
0.411187	18372
0.414332	17334
0.417562	11237
0.420718	2180856
0.423867	1568930
0.427027	1410585
0.430180	1010804
0.433328	694771
0.436477	536084
0.439745	338700
0.442898	243246
0.446045	152653
0.449188	105340
0.452335	78653
0.455488	53385
0.458633	36503
0.461775	29085
0.464925	22730
0.468160	18813
0.471307	17061
0.474493	13637
0.477655	2366270
0.480805	1606580
0.483967	1474557
0.487118	971685
0.490267	764580
0.493413	514570
0.496647	342598
0.499797	225742
0.502940	167381
0.506083	97754
0.509267	78183
0.512420	57769
0.515565	38771
0.518710	33724
0.521940	21388
0.525083	18532
0.528228	14075
0.531373	13636
0.534525	10240
0.537672	8209
0.540817	6885
0.544090	7440
0.547340	6650
0.550483	6808
0.553627	4507
0.556773	6272
0.559917	5236
0.563058	5692
0.566203	5646
0.569365	3059
0.572595	4415
0.575737	3030
0.578918	5401
0.582073	4641
0.585213	1721834
0.588367	1640705
0.591527	1381435
0.594677	966915
0.597912	695865
0.601057	461073
0.604210	312349
0.607358	225124
0.610503	138513
0.613688	101404
0.616845	61809
0.620073	49108
0.623218	41011
0.626363	30367
0.629507	15731
0.632652	19766
0.635792	13643
0.638945	10087
0.642088	1659045
0.645240	1565255
0.648530	1229132
0.651693	907470
0.654842	624947
0.657987	461748
0.661133	280326
0.664277	209804
0.667422	135396
0.670568	96034
0.673720	77115
0.676952	51244
0.680100	35719
0.683287	29341
0.686430	19529
0.689577	18760
0.692718	12797
0.695873	11203
0.699018	2221510
0.702265	1450397
0.705427	1266749
0.708587	891199
0.711738	640255
0.714888	435710
0.718072	321087
0.721218	211251
0.724363	138008
0.727593	93674
0.730748	59423
0.733892	47326
0.737037	37136
0.740182	28448
0.743397	20638
0.746552	19733
0.749697	13151
0.752965	10283
0.756108	1547514
0.759268	1547637
0.762427	1205410
0.765585	886114
0.768742	586323
0.771888	410612
0.775037	269634
0.778193	202470
0.781425	124704
0.784573	96585
0.787753	63327
0.790898	55092
0.794043	34615
0.797185	25731
0.800338	24349
0.803567	18290
0.806712	15311
0.809888	12043
0.813050	9839
0.816193	9182
0.819337	10818
0.822522	7504
0.825667	9452
0.828902	5605
0.832050	6621
0.835205	5728
0.838348	5193
0.841495	4160
0.844640	5916
0.847782	4420
0.850927	4374
0.854165	4662
0.857347	4300
0.860492	3004
0.863633	3752
0.866775	4854
0.869932	60789
0.873075	1505852
0.876247	1391163
0.879400	1269569
0.882635	850936
0.885778	581309
0.888927	421194
0.892122	269093
0.895270	194074
0.898420	127442
0.901567	80042
0.904722	64451
0.907867	50200
0.911095	31312
0.914238	29713
0.917383	21309
0.920528	16653
0.923670	12982
0.926863	11422
0.930012	9191
0.933242	9569
0.936385	6679
0.939540	1451352
0.942717	1501630
0.945873	1187736
0.949027	922683
0.952178	609007
0.955323	411121
0.958555	310458
0.961747	188141
0.964892	144585
0.968035	91774
0.971182	69621
0.974333	41426
0.977475	35071
0.980620	30202
0.983853	23227
0.986998	16652
0.990142	11767
0.993283	9456
0.996472	9292
0.999615	10818
1.002762	9209
1.005905	1537056
1.009073	1569309
1.012320	1279012
1.015470	827385
1.018618	592889
1.021767	406601
1.024912	296985
1.028057	202208
1.031247	133018
1.034395	90178
1.037625	73175
1.040770	48132
1.043913	32239
1.047055	30985
1.050200	19351
1.053352	19179
1.056495	15532
1.059640	13444
1.062878	10086
1.066070	8440
1.069217	8626
1.072363	1623450
1.075525	1498602
1.078687	1386067
1.081837	963926
1.085068	618525
1.088223	425797
1.091373	274778
1.094520	179602
1.097668	134345
1.100865	89735
1.104013	66046
1.107160	48676
1.110387	37825
1.113533	30985
1.116678	25421
1.119823	18098
1.122978	16648
1.126125	14344
1.129272	10050
1.132417	10307
1.135697	9121
1.138840	8087
1.141985	5636
1.145132	6773
1.148278	6482
1.151423	6770
1.154568	5944
1.157720	6197
1.160862	3859
1.164092	1605596
1.167245	1345486
1.170433	942780
1.173582	651960
1.176732	425939
1.179887	303801
1.183030	184243
1.186262	135666
1.189407	90782
1.192568	67630
1.195713	42727
1.198858	36299
1.202000	25380
1.205187	1663949
1.208337	1344459
1.211575	981849
1.214733	676594
1.217882	481569
1.221028	289378
1.224177	218759
1.227333	156119
1.230475	91412
1.233623	66653
1.236858	50328
1.240042	37005
1.243185	22124
1.246335	1679283
1.249487	1485422
1.252637	1026333
1.255787	750490
1.258932	482909
1.262173	353421
1.265320	216337
1.268465	156675
1.271608	108952
1.274788	71096
1.277935	52987
1.281080	33863
1.284247	29696
1.287388	1613698
1.290620	1464811
1.293777	1133713
1.296923	751992
1.300070	534202
1.303218	378607
1.306373	234341
1.309552	153963
1.312697	111927
1.315842	77805
1.319087	53173
1.322230	45023
1.325378	29241
1.328522	22119
1.331665	16854
1.334812	13263
1.337958	12184
1.341112	11919
1.344295	9842
1.347530	7938
1.350678	10279
1.353838	8960
1.356982	4482
1.360127	6967
1.363273	4543
1.366417	1868733
1.369560	1367241
1.372805	1092578
1.375967	774040
1.379148	528331
1.382292	358925
1.385437	235064
1.388580	160920
1.391728	101956
1.394878	1791160
1.398118	1372643
1.401273	1066326
1.404427	764295
1.407577	517058
1.410730	357983
1.413913	230955
1.417062	159893
1.420203	111432
1.423348	1715846
1.426575	1412518
1.429732	1120582
1.432893	778690
1.436042	527078
1.439190	332897
1.442345	244111
1.445498	156985
1.448765	113332
1.451912	1711839
1.455060	1309379
1.458218	1079324
1.461370	754779
1.464520	537146
1.467682	346901
1.470827	231223
1.474060	158652
1.477205	109189
1.480370	75914
1.483555	54306
1.486700	40076
1.489845	35226
1.492987	27930
1.496130	17251
1.499360	13007
1.502515	13992
1.505660	10767
1.508807	8666
1.511952	8432
1.515093	7630
1.518273	8594
1.521418	8267
1.524577	7455
1.527808	5780
1.530955	5714
1.534103	6544
1.537257	6625
1.540398	4800
1.543543	5557
1.546697	5371
1.549843	5331
1.553112	4927
1.556257	4396
1.559415	5326
1.562558	2265352
1.565723	1368768
1.568880	1151718
1.572040	787535
