fingerprint,proton_affinity,yield
4P///wAIAAAKAAAAeQNNAigEVpUC5QPaoQC9A0Q=,,0.1
4P///wAIAAATAAAA/QI8TOCQlKqMFnQIMQF+XPRyvkUC9LkA,,0.12
4P///wAIAAAOAAAAIH5VAW4JANp0PQDiUQAgTQD1AckEIQA=,,0.09
4P///wAIAAAGAAAAXL0CrQJSsQOJBO0G,,0.08
4P///wAIAAAKAAAAPQEVAtEATQLKNQNNAgUALQAJABA=,,0.14
4P///wAIAAAQAAAAPQHMUujRAFx5As5WhNEAXgUDcIKUxg==,,0.1
4P///wAIAAAOAAAAoP6qEQA8lHJ0PQAZAh0BDhUIKuQ=,,0
4P///wAIAAAQAAAAFQRKhQB4WQQ8Qg6IguTy6QAAdvS5AA==,,0
4P///wAIAAAKAAAACQgOEQGKEGZizQI1BhypAA==,,0
4P///wAIAAAHAAAAzQFxBIKhAkrtAY0H/A==,,0
4P///wAIAAALAAAAsQCNBTUCuBAKOBUCtQXKcIo=,,0.03
4P///wAIAAALAAAAsQCNBaUBRrgQCokCtQXKcIo=,,0.1
4P///wAIAAASAAAAQF7VAZT5AUrWOroanFi1AjC2TvJVAvg=,,0.07
4P///wAIAAASAAAAFQTAjQBxAIxFAX5cgOYI1QFCqPRWCHx8,,0
4P///wAIAAAOAAAABFEDNnDpA4wWEDS4EPaxANECdQQ=,,0
4P///wAIAAANAAAApQl6oF0CBDUAhJhBAE0ANjKIuQA=,,0
4P///wAIAAALAAAAoDUAjskA6ikBGOUBMF4xCiEA,,0
4P///wAIAAALAAAAoFUBoQIpAekAluJlAwkDjLZY,,0
4P///wAIAAAPAAAA6QM9Ak0CELg4BCyccGwO7QY6PQAm,,0
4P///wAIAAALAAAAFQTUHQQdAaQ20QCYkQJqiLkA,,0
4P///wAIAAALAAAAgg0DjQN6YQLc0QB1AU0ANry5AA==,,0
