CHROMATOGRAM
(+)APCI_MOP_channel4_iso65_chain1.raw
Data points: 661
Time	Intensity
0.000202	0
0.003157	0
0.006135	0
0.009157	0
0.012183	0
0.015210	0
0.018207	0
0.021227	0
0.024243	0
0.027317	0
0.030362	0
0.033350	0
0.036373	0
0.039365	0
0.042360	0
0.045378	0
0.048372	0
0.051385	0
0.054390	0
0.057462	0
0.060487	0
0.063538	0
0.066585	0
0.069608	0
0.072610	0
0.075633	0
0.078647	0
0.081647	0
0.084642	0
0.087673	0
0.090723	0
0.093745	0
0.096780	0
0.099828	0
0.102815	0
0.105800	0
0.108805	0
0.111783	0
0.114793	0
0.117772	0
0.120832	0
0.123863	0
0.126920	0
0.129955	0
0.132965	0
0.135970	0
0.138940	0
0.141940	0
0.144928	0
0.147947	0
0.151017	0
0.154043	25
0.157080	0
0.160122	0
0.163172	0
0.166190	0
0.169203	0
0.172200	0
0.175215	0
0.178232	0
0.181230	0
0.184248	0
0.187345	59
0.190380	3463
0.193380	1556
0.196385	919
0.199430	429
0.202417	183
0.205400	734
0.208407	5456
0.211382	2599
0.214377	1073
0.217382	656
0.220393	304
0.223397	16372
0.226390	11022
0.229448	5899
0.232442	2851
0.235492	1518
0.238483	1692
0.241497	8490
0.244507	4956
0.247513	2482
0.250538	1409
0.253553	785
0.256587	9003
0.259592	4749
0.262587	2683
0.265592	1459
0.268563	1143
0.271588	598
0.274605	267
0.277608	233
0.280610	57
0.283627	0
0.286638	43
0.289652	0
0.292723	0
0.295722	12
0.298712	0
0.301707	30
0.304725	0
0.307763	0
0.310767	0
0.313773	0
0.316787	2073
0.319775	1295
0.322818	727
0.325867	441
0.328870	159
0.331927	190
0.334935	41
0.337928	43
0.340958	49
0.344003	1768
0.347005	1440
0.350002	648
0.353045	277
0.356073	228
0.359078	96
0.362077	60
0.365108	24
0.368090	38
0.371157	2096
0.374148	1411
0.377145	532
0.380227	226
0.383208	213
0.386197	48
0.389225	59
0.392232	29
0.395240	219
0.398317	1763
0.401302	1168
0.404333	500
0.407340	319
0.410340	259
0.413328	70
0.416372	109
0.419382	46
0.422442	1
0.425450	0
0.428440	0
0.431472	0
0.434475	0
0.437472	0
0.440473	0
0.443458	0
0.446510	0
0.449495	0
0.452535	0
0.455530	29
0.458538	0
0.461585	0
0.464542	0
0.467550	6192
0.470552	5711
0.473555	4187
0.476562	2004
0.479602	1399
0.482612	618
0.485663	487
0.488702	1843
0.491713	8263
0.494733	3941
0.497735	2106
0.500710	2037
0.503675	584
0.506702	511
0.509683	122
0.512682	10951
0.515733	4919
0.518715	2656
0.521735	1016
0.524753	776
0.527730	319
0.530808	330
0.533825	9351
0.536863	6006
0.539900	2975
0.542878	1574
0.545913	760
0.548905	464
0.551900	301
0.554968	150
0.558055	75
0.561067	109
0.564060	66
0.567078	28
0.570068	0
0.573082	0
0.576088	0
0.579105	0
0.582068	0
0.585143	14
0.588205	0
0.591287	0
0.594333	0
0.597353	0
0.600367	0
0.603333	0
0.606308	0
0.609357	0
0.612413	39
0.615398	0
0.618392	22
0.621468	24
0.624460	4388
0.627458	2469
0.630502	1455
0.633500	892
0.636487	457
0.639463	239
0.642540	79
0.645538	144
0.648543	59
0.651533	10
0.654560	22
0.657562	12
0.660563	0
0.663567	0
0.666595	4809
0.669623	2918
0.672650	1305
0.675645	665
0.678688	560
0.681662	68
0.684677	137
0.687690	44
0.690707	0
0.693690	18
0.696678	0
0.699653	0
0.702720	0
0.705707	0
0.708707	5334
0.711725	2801
0.714703	1749
0.717693	778
0.720660	318
0.723688	143
0.726682	102
0.729698	50
0.732708	92
0.735738	0
0.738763	0
0.741805	0
0.744792	0
0.747798	0
0.750802	4223
0.753830	2402
0.756830	1528
0.759833	688
0.762850	322
0.765855	260
0.768847	0
0.771827	30
0.774848	31
0.777887	32
0.780942	0
0.783932	0
0.786945	0
0.789977	0
0.793018	0
0.796090	0
0.799088	0
0.802118	0
0.805120	0
0.808092	18
0.811142	0
0.814123	0
0.817182	0
0.820210	0
0.823227	0
0.826277	0
0.829312	0
0.832333	0
0.835355	0
0.838372	3976
0.841385	3189
0.844420	1497
0.847408	867
0.850415	382
0.853420	273
0.856418	192
0.859415	127
0.862412	0
0.865455	18
0.868457	0
0.871477	0
0.874467	31
0.877457	4901
0.880502	3186
0.883487	1664
0.886525	729
0.889533	384
0.892565	216
0.895560	78
0.898585	125
0.901592	90
0.904570	0
0.907543	33
0.910515	29
0.913512	38
0.916522	3521
0.919588	2755
0.922623	743
0.925618	995
0.928593	132
0.931613	212
0.934648	29
0.937642	66
0.940635	47
0.943662	36
0.946740	0
0.949735	0
0.952763	3616
0.955780	2902
0.958747	1565
0.961772	862
0.964770	502
0.967763	471
0.970770	200
0.973805	93
0.976845	56
0.979882	96
0.982923	0
0.985925	13
0.988945	0
0.991960	0
0.995005	0
0.998082	0
1.001078	0
1.004118	23
1.007130	0
1.010128	0
1.013195	0
1.016230	19
1.019245	2158
1.022258	1677
1.025270	1073
1.028255	435
1.031307	251
1.034318	121
1.037360	1916
1.040350	1171
1.043392	652
1.046430	394
1.049432	287
1.052400	962
1.055372	1488
1.058428	871
1.061445	562
1.064443	167
1.067435	241
1.070442	2544
1.073487	1194
1.076488	714
1.079462	448
1.082505	122
1.085492	80
1.088525	148
1.091535	0
1.094560	0
1.097602	0
1.100613	0
1.103597	0
1.106622	0
1.109608	0
1.112598	0
1.115578	0
1.118560	0
1.121593	0
1.124605	0
1.127605	0
1.130613	0
1.133612	0
1.136637	0
1.139638	0
1.142643	0
1.145670	4881
1.148707	2122
1.151765	1267
1.154745	1059
1.157750	438
1.160690	308
1.163727	188
1.166780	63
1.169783	5254
1.172805	3316
1.175808	1600
1.178872	823
1.181870	443
1.184915	150
1.187910	66
1.190880	137
1.193913	840
1.196893	3389
1.199888	2109
1.202910	801
1.205932	520
1.208917	399
1.211933	127
1.214943	85
1.217918	47
1.220917	4327
1.223937	2587
1.226920	1426
1.229897	775
1.232880	504
1.235913	219
1.238955	0
1.241940	72
1.244950	56
1.247955	47
1.250957	0
1.254028	0
1.257035	0
1.260053	0
1.263065	0
1.266072	0
1.269067	0
1.272053	0
1.275110	0
1.278145	28
1.281157	0
1.284170	0
1.287230	0
1.290278	0
1.293333	0
1.296305	0
1.299322	0
1.302332	0
1.305350	0
1.308392	6328
1.311378	3993
1.314417	2181
1.317405	1066
1.320442	670
1.323447	336
1.326438	282
1.329442	55
1.332442	85
1.335432	38
1.338448	0
1.341430	0
1.344453	42
1.347477	5760
1.350462	3294
1.353523	2135
1.356513	934
1.359535	573
1.362603	217
1.365598	67
1.368578	210
1.371583	49
1.374595	0
1.377577	0
1.380587	0
1.383583	367
1.386578	5257
1.389555	2908
1.392582	1520
1.395573	1051
1.398583	491
1.401600	197
1.404582	284
1.407590	0
1.410572	122
1.413593	0
1.416593	0
1.419603	0
1.422618	3968
1.425620	3806
1.428695	2186
1.431767	1021
1.434778	752
1.437798	377
1.440775	88
1.443772	172
1.446822	22
1.449865	0
1.452878	40
1.455855	0
1.458855	0
1.461882	13
1.464987	0
1.468000	0
1.471002	0
1.474002	0
1.477018	0
1.480075	0
1.483077	0
1.486112	0
1.489103	0
1.492130	0
1.495190	0
1.498198	0
1.501247	0
1.504268	0
1.507288	40
1.510317	6900
1.513345	2781
1.516363	1501
1.519443	1155
1.522463	528
1.525515	372
1.528513	67
1.531538	84
