fingerprint,proton_affinity,yield
4P///wAIAAAIAAAAeQNNAi5WlQLlA9qhAEkE,,0.85
4P///wAIAAANAAAA/QI8XQBNAHEAjEUBfqUAcr5FAvS5AA==,,0.74
4P///wAIAAAKAAAAoFUBbgkAoQA9AOJRAIkEyQQhAA==,,0.89
4P///wAIAAAGAAAAXL0CrQJSsQOJBO0G,,0.83
4P///wAIAAAHAAAAPQEVAtEATQLKNQNNAmUE,,0.79
4P///wAIAAAKAAAAPQFBAOjRANUEVt0BxQP0lMY=,,0.89
4P///wAIAAAKAAAAoFUBEQA8/QA9ABkCHQEOFQghAA==,,1
4P///wAIAAAJAAAArQR5AcUADQLBAOTVAnb0uQA=,,1
4P///wAIAAAHAAAAKQgRAZxmYgULHKkA,,0.64
4P///wAIAAAKAAAAQQhK1vYanGkDWQIRAiD4,,0.9
4P///wAIAAAGAAAAQQiCoQJK7QGNB/w=,,1
4P///wAIAAAHAAAAQQg1ArgQoQK1Bcr8,,0.97
4P///wAIAAANAAAAoAED+QFK1jq6GpxpAzD1AVUC+A==,,0.93
4P///wAIAAAMAAAAmQWNAHEAjEUBfo0BCNUB7PRWCQA=,,0.26
4P///wAIAAAJAAAAnQqMKDS4EPaxANECdQQ=,,0
4P///wAIAAAJAAAApQl6oGkCQQGYQQBNAPS5AA==,,0
4P///wAIAAAHAAAA4QsdAaRBAZiRAvS5AA==,,0
4P///wAIAAAHAAAApQl6YQKNAnUBTQD0uQA=,,0.85
4P///wAIAAAIAAAAoDUAjskAAQMY5QFVCyEA,,0
4P///wAIAAAIAAAAoFUBzQXpAJbicQiMIQA=,,0
4P///wAIAAAHAAAAKQhxAmEAGJUBKQYkuQA=,,0
