fingerprint,proton_affinity,yield
4P///wAIAAAKAAAAeQNNAigEVpUC5QPaoQC9A0Q=,,0.85
4P///wAIAAATAAAA/QI8TOCQlKqMFnQIMQF+XPRyvkUC9LkA,,0.74
4P///wAIAAAOAAAAIH5VAW4JANp0PQDiUQAgTQD1AckEIQA=,,0.89
4P///wAIAAAGAAAAXL0CrQJSsQOJBO0G,,0.83
4P///wAIAAAKAAAAPQEVAtEATQLKNQNNAgUALQAJABA=,,0.79
4P///wAIAAAQAAAAPQHMUujRAFx5As5WhNEAXgUDcIKUxg==,,0.89
4P///wAIAAAOAAAAoP6qEQA8lHJ0PQAZAh0BDhUIKuQ=,,1
4P///wAIAAAOAAAAFQRK4tjFAA0CUoiC5NUCdjy2uQA=,,1
4P///wAIAAAKAAAACQgOEQGKEGZizQI1BhypAA==,,0.64
4P///wAIAAANAAAAQQhK1vYanBg1AykAUsIRAiD4,,0.9
4P///wAIAAAHAAAAzQFxBIKhAkrtAY0H/A==,,1
4P///wAIAAALAAAAsQCNBTUCuBAKOBUCtQXKcIo=,,0.97
4P///wAIAAASAAAAQF7VAZT5AUrWOroanFi1AjC2TvJVAvg=,,0.93
4P///wAIAAASAAAAFQTAjQBxAIxFAX5cgOYI1QFCqPRWCHx8,,0.26
4P///wAIAAAOAAAABFEDNnDpA4wWEDS4EPaxANECdQQ=,,0
4P///wAIAAANAAAApQl6oF0CBDUAhJhBAE0ANjKIuQA=,,0
4P///wAIAAALAAAAFQTUHQQdAaQ20QCYkQJqiLkA,,0
4P///wAIAAALAAAAgg0DjQN6YQLc0QB1AU0ANry5AA==,,0.85
4P///wAIAAALAAAAoDUAjskA6ikBGOUBMF4xCiEA,,0
4P///wAIAAALAAAAoFUBoQIpAekAluJlAwkDjLZY,,0
4P///wAIAAALAAAAeQEoMQAIEQJxAmEAGJUBKQYkuQA=,,0
4P///wAIAAAQAAAA/QI8TOUAlFKxAzzGFJjOvvkApPS5AA==,,1
4P///wAIAAAQAAAAFQRKhQB4WQQ8Qg6IguTy6QAAdvS5AA==,,1
4P///wAIAAALAAAAsQCNBaUBRrgQCokCtQXKcIo=,,1
4P///wAIAAAOAAAA/QCw2D0ApQDOjEUBflxQLQDFA/S5AA==,,0
4P///wAIAAAPAAAA6QM9Ak0CELg4BCyccGwO7QY6PQAm,,0

