fingerprint,proton_affinity,yield
4P///wAIAAAKAAAAeQNNAigEVpUC5QPaoQC9A0Q=,,0.05
4P///wAIAAATAAAA/QI8TOCQlKqMFnQIMQF+XPRyvkUC9LkA,,0.14
4P///wAIAAAGAAAAXL0CrQJSsQOJBO0G,,0.03
4P///wAIAAAKAAAAPQEVAtEATQLKNQNNAgUALQAJABA=,,0.07
4P///wAIAAAQAAAAPQHMUujRAFx5As5WhNEAXgUDcIKUxg==,,0.01
4P///wAIAAAOAAAAoP6qEQA8lHJ0PQAZAh0BDhUIKuQ=,,0
4P///wAIAAAOAAAAFQRK4tjFAA0CUoiC5NUCdjy2uQA=,,0
4P///wAIAAAQAAAAFQRKhQB4WQQ8Qg6IguTy6QAAdvS5AA==,,0
4P///wAIAAAKAAAACQgOEQGKEGZizQI1BhypAA==,,0.36
4P///wAIAAANAAAAQQhK1vYanBg1AykAUsIRAiD4,,0
4P///wAIAAAHAAAAzQFxBIKhAkrtAY0H/A==,,0
4P///wAIAAALAAAAsQCNBaUBRrgQCokCtQXKcIo=,,0
4P///wAIAAASAAAAQF7VAZT5AUrWOroanFi1AjC2TvJVAvg=,,0
4P///wAIAAASAAAAFQTAjQBxAIxFAX5cgOYI1QFCqPRWCHx8,,0.29
4P///wAIAAAOAAAABFEDNnDpA4wWEDS4EPaxANECdQQ=,,1
4P///wAIAAANAAAApQl6oF0CBDUAhJhBAE0ANjKIuQA=,,1
4P///wAIAAALAAAAFQTUHQQdAaQ20QCYkQJqiLkA,,1
4P///wAIAAALAAAAgg0DjQN6YQLc0QB1AU0ANry5AA==,,0.03
4P///wAIAAALAAAAoDUAjskA6ikBGOUBMF4xCiEA,,0
4P///wAIAAALAAAAoFUBoQIpAekAluJlAwkDjLZY,,1
4P///wAIAAALAAAAeQEoMQAIEQJxAmEAGJUBKQYkuQA=,,0
