fingerprint,proton_affinity,yield
4P///wAIAAAEAAAAeQOtAlZ9CKUI,,0.85
4P///wAIAAAGAAAAeQOtAnEAYQONAbEFuQA=,,0.74
4P///wAIAAAEAAAAoDUCrQJZBHkN,,0.89
4P///wAIAAADAAAAeQOtAlkEeQ0=,,0.83
4P///wAIAAADAAAAPQHpBE0ChQ8=,,0.79
4P///wAIAAAEAAAAPQHpBGUJsQW5AA==,,0.89
4P///wAIAAAEAAAAoGkDeQFZBHkN,,1
4P///wAIAAAEAAAArQR5AWUJsQW5AA==,,1
4P///wAIAAADAAAAKQgRAZyFDw==,,0.64
4P///wAIAAAFAAAAQQhKnQG4aQOlCA==,,0.9
4P///wAIAAADAAAAQQipA0p5DQ==,,1
4P///wAIAAADAAAAQQg1ArgRDg==,,0.97
4P///wAIAAAGAAAAoP0GSp0BuGkDpQg=,,0.93
4P///wAIAAAFAAAAKQhxAGEDjQGxBbkA,,0.26
4P///wAIAAAEAAAAnQrsuBEA/Qs=,,0
4P///wAIAAAEAAAAnQqtA0EBsQW5AA==,,0
4P///wAIAAADAAAATRBBAbEFuQA=,,0
4P///wAIAAADAAAAnQrxBrEFuQA=,,0.85
4P///wAIAAADAAAAoFkJ5QF5DQ==,,0
4P///wAIAAADAAAAoEEN4rEL,,0
4P///wAIAAADAAAAKQhxAqUMuQA=,,0
