x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,yield
false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,0.85
false,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,true,true,0.74
true,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,0.89
false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,0.83
false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,0.79
false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,0.89
true,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,1.0
false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,1.0
false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,0.64
false,false,false,false,false,true,true,false,false,true,false,true,false,false,false,true,false,false,0.9
false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,1.0
false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,0.97
true,false,false,false,false,true,true,false,false,true,false,true,false,false,false,true,false,false,0.93
false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,true,true,0.26
false,false,false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,0.0
false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,true,0.0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,0.0
false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,0.85
true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,0.0
true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,0.0
false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,true,0.0
