fingerprint,proton_affinity,yield
4P///wAIAAAEAAAAeQOtAlZ9CKUI,,0.1
4P///wAIAAAGAAAAeQOtAnEAYQONAbEFuQA=,,0.12
4P///wAIAAAEAAAAoDUCrQJZBHkN,,0.09
4P///wAIAAADAAAAeQOtAlkEeQ0=,,0.08
4P///wAIAAADAAAAPQHpBE0ChQ8=,,0.14
4P///wAIAAAEAAAAPQHpBGUJsQW5AA==,,0.1
4P///wAIAAAEAAAAoGkDeQFZBHkN,,0
4P///wAIAAAFAAAArQR5AVkECQOxBbkA,,0
4P///wAIAAADAAAAKQgRAZyFDw==,,0
4P///wAIAAADAAAAQQipA0p5DQ==,,0
4P///wAIAAADAAAAQQg1ArgRDg==,,0.03
4P///wAIAAADAAAAQQg1ArgRDg==,,0.1
4P///wAIAAAGAAAAoP0GSp0BuGkDpQg=,,0.07
4P///wAIAAAFAAAAKQhxAGEDjQGxBbkA,,0
4P///wAIAAAEAAAAnQrsuBEA/Qs=,,0
4P///wAIAAAEAAAAnQqtA0EBsQW5AA==,,0
4P///wAIAAADAAAAoFkJ5QF5DQ==,,0
4P///wAIAAADAAAAoEEN4rEL,,0
4P///wAIAAAFAAAAKQhNAhDyBG0N,,0
4P///wAIAAADAAAATRBBAbEFuQA=,,0
4P///wAIAAADAAAAnQrxBrEFuQA=,,0
