x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,yield
false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,0.1
false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,true,0.12
true,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0.09
false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0.08
false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0.14
false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,0.1
true,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,0.0
false,false,false,true,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,0.0
false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,0.0
false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,0.0
false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,0.03
false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,0.1
true,false,false,false,false,true,true,false,false,true,false,true,false,false,false,false,true,false,false,0.07
false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,true,0.0
false,false,false,false,false,false,false,true,false,true,false,true,false,false,true,false,false,false,false,0.0
false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,true,0.0
true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,0.0
true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,0.0
false,false,false,false,true,false,false,false,false,true,true,false,true,true,false,false,false,false,false,0.0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,0.0
false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,0.0
