CHROMATOGRAM
(+)APCI_MOP_channel4_chain_4.raw
Data points: 732
Time,Intensity
0.000202,0
0.003113,0
0.006043,0
0.008965,0
0.011983,0
0.014895,0
0.017808,0
0.020740,0
0.023715,0
0.026667,0
0.029580,0
0.032493,0
0.035415,0
0.038342,0
0.041255,0
0.044180,0
0.047092,82
0.050028,0
0.052992,0
0.055920,20
0.058862,0
0.061817,0
0.064732,0
0.067645,0
0.070570,0
0.073485,0
0.076390,0
0.079312,0
0.082283,0
0.085198,0
0.088118,0
0.091032,0
0.093963,0
0.096933,0
0.099850,0
0.102767,0
0.105680,28
0.108595,39
0.111552,34
0.114470,0
0.117392,0
0.120297,0
0.123207,0
0.126127,0
0.129037,0
0.131980,0
0.134910,0
0.137820,0
0.140762,0
0.143675,0
0.146580,0
0.149492,0
0.152408,0
0.155317,48401
0.158237,23893
0.161158,11733
0.164068,7009
0.167028,3436
0.169982,1639
0.172903,65885
0.175827,31191
0.178750,15979
0.181663,9547
0.184575,4971
0.187500,119191
0.190422,130612
0.193348,68152
0.196273,36422
0.199190,19707
0.202203,9175
0.205117,130365
0.208038,75039
0.210962,37835
0.213880,19705
0.216810,11103
0.219733,5925
0.222645,81729
0.225577,48060
0.228545,20942
0.231470,10599
0.234410,5785
0.237363,3599
0.240298,1877
0.243210,860
0.246135,714
0.249047,319
0.251963,153
0.254887,29
0.257840,0
0.260747,0
0.263662,140
0.266577,40
0.269493,56
0.272440,40291
0.275352,58259
0.278315,28090
0.281225,13311
0.284145,7968
0.287095,3797
0.290018,1965
0.292933,62112
0.295860,28553
0.298797,16432
0.301730,9600
0.304648,4298
0.307602,2805
0.310530,73111
0.313457,37303
0.316365,20039
0.319333,9362
0.322253,5359
0.325175,3125
0.328088,80152
0.331010,46313
0.333925,23436
0.336843,13742
0.339792,7224
0.342750,3698
0.345662,1903
0.348610,852
0.351528,791
0.354452,441
0.357378,197
0.360308,185
0.363233,66
0.366165,0
0.369100,0
0.372022,42
0.374945,0
0.377915,40
0.380888,34
0.383815,0
0.386728,0
0.389648,0
0.392595,0
0.395518,0
0.398445,10068
0.401358,5175
0.404277,2777
0.407193,1511
0.410108,803
0.413120,325
0.416037,230
0.418982,8260
0.421890,4631
0.424817,2158
0.427752,1147
0.430663,737
0.433597,441
0.436510,149
0.439427,6617
0.442402,4168
0.445322,2570
0.448270,1063
0.451200,626
0.454118,182
0.457035,1195
0.459952,6690
0.462865,3642
0.465788,1602
0.468703,1093
0.471667,516
0.474588,116
0.477490,291
0.480405,0
0.483353,116
0.486270,0
0.489192,0
0.492113,0
0.495040,0
0.497958,0
0.500862,0
0.503823,0
0.506742,34
0.509665,0
0.512593,0
0.515517,0
0.518483,0
0.521407,0
0.524347,0
0.527277,0
0.530197,0
0.533110,28
0.536020,0
0.538972,0
0.541913,658
0.544830,11247
0.547760,6557
0.550687,2948
0.553655,1538
0.556572,748
0.559477,281
0.562395,85
0.565357,169
0.568272,0
0.571185,46
0.574085,40
0.577005,1765
0.579937,13872
0.582852,6888
0.585772,3164
0.588733,1737
0.591643,922
0.594570,383
0.597488,364
0.600455,37
0.603370,44
0.606275,0
0.609203,0
0.612117,3060
0.615037,12553
0.617948,5923
0.620848,2773
0.623822,1794
0.626748,614
0.629700,299
0.632618,391
0.635545,112
0.638470,40
0.641383,39
0.644298,0
0.647212,4933
0.650133,11690
0.653040,5648
0.655980,2914
0.658973,1343
0.661908,942
0.664827,379
0.667752,209
0.670670,0
0.673585,118
0.676495,0
0.679403,0
0.682320,0
0.685242,0
0.688192,0
0.691112,0
0.694068,0
0.696990,0
0.699903,0
0.702825,0
0.705735,0
0.708657,0
0.711577,0
0.714542,0
0.717467,41
0.720393,54729
0.723318,27086
0.726267,14763
0.729227,7784
0.732160,3642
0.735062,2276
0.737997,862
0.740905,39787
0.743862,40089
0.746795,19989
0.749708,9433
0.752635,4996
0.755540,2935
0.758458,1550
0.761382,564
0.764338,50829
0.767248,22661
0.770157,13257
0.773132,6692
0.776060,3678
0.778983,1631
0.781897,1072
0.784820,64237
0.787735,32367
0.790665,17346
0.793587,8660
0.796517,5348
0.799477,2510
0.802422,1068
0.805348,595
0.808262,516
0.811180,223
0.814107,80
0.817017,34
0.819933,45
0.822847,0
0.825760,0
0.828680,0
0.831598,0
0.834583,0
0.837497,0
0.840412,0
0.843328,0
0.846233,0
0.849155,0
0.852068,0
0.855012,0
0.857937,0
0.860860,0
0.863820,0
0.866748,18
0.869705,0
0.872633,0
0.875543,0
0.878463,10011
0.881387,4990
0.884312,2264
0.887223,1356
0.890147,688
0.893107,424
0.896038,115
0.898958,34
0.901885,40
0.904845,29
0.907772,0
0.910683,0
0.913623,0
0.916545,0
0.919457,0
0.922395,7966
0.925360,3614
0.928287,2061
0.931200,1240
0.934120,544
0.937055,330
0.940008,194
0.942947,138
0.945862,97
0.948775,38
0.951698,0
0.954663,0
0.957582,0
0.960487,0
0.963398,31
0.966313,6746
0.969222,3173
0.972152,1649
0.975097,1153
0.978005,510
0.980975,483
0.983887,37
0.986823,44
0.989745,79
0.992662,0
0.995578,24
0.998500,0
1.001425,0
1.004340,0
1.007257,2656
1.010240,6374
1.013162,2855
1.016080,1532
1.018995,740
1.021897,405
1.024810,165
1.027723,116
1.030638,0
1.033558,78
1.036483,0
1.039433,0
1.042365,23
1.045318,37
1.048227,24
1.051157,39
1.054078,27
1.056985,0
1.059897,0
1.062817,0
1.065755,0
1.068705,39
1.071618,0
1.074528,0
1.077445,0
1.080405,41
1.083325,0
1.086252,45341
1.089173,28454
1.092093,14503
1.095030,7014
1.097990,4020
1.100913,1720
1.103837,578
1.106768,618
1.109687,206
1.112607,0
1.115548,41754
1.118465,19819
1.121390,9905
1.124312,4933
1.127293,3291
1.130203,1949
1.133118,677
1.136035,519
1.138963,228
1.141880,1081
1.144785,27066
1.147708,17452
1.150667,8857
1.153587,4760
1.156548,2000
1.159488,1018
1.162407,740
1.165340,285
1.168263,103
1.171177,40967
1.174102,27690
1.177027,12755
1.179962,5967
1.182890,3744
1.185887,1775
1.188812,926
1.191750,610
1.194668,94
1.197577,89
1.200515,31
1.203430,27
1.206357,72
1.209267,0
1.212187,39
1.215113,0
1.218082,0
1.221032,66
1.223947,0
1.226860,35
1.229777,0
1.232688,0
1.235613,0
1.238538,0
1.241447,19
1.244358,0
1.247338,12520
1.250272,19906
1.253190,10469
1.256137,5640
1.259057,2236
1.261975,1306
1.264900,774
1.267820,428
1.270735,335
1.273650,1846
1.276560,22205
1.279515,10641
1.282448,5381
1.285385,3054
1.288302,1320
1.291275,564
1.294207,374
1.297133,215
1.300045,293
1.302962,20406
1.305888,10195
1.308847,5920
1.311768,3297
1.314685,1473
1.317605,714
1.320522,538
1.323452,194
1.326405,77
1.329313,24515
1.332230,12577
1.335157,5215
1.338115,2799
1.341025,1369
1.343955,972
1.346878,470
1.349800,288
1.352735,200
1.355657,119
1.358575,35
1.361527,0
1.364485,0
1.367403,0
1.370308,0
1.373210,0
1.376128,0
1.379037,0
1.381943,0
1.384855,0
1.387763,35
1.390670,0
1.393590,3200
1.396592,43810
1.399522,20853
1.402433,11341
1.405353,5671
1.408280,3313
1.411193,47535
1.414122,34351
1.417058,20805
1.419983,9820
1.422910,5274
1.425852,2114
1.428845,56694
1.431803,29777
1.434713,13367
1.437623,7540
1.440545,4356
1.443485,3212
1.446402,48819
1.449327,23753
1.452260,12317
1.455175,7049
1.458130,3817
1.461045,1791
1.463955,804
1.466905,661
1.469833,359
1.472755,107
1.475665,100
1.478650,32
1.481573,0
1.484537,0
1.487460,0
1.490367,0
1.493280,0
1.496208,0
1.499138,0
1.502103,44
1.505027,0
1.507947,41
1.510862,10880
1.513828,11125
1.516763,5377
1.519683,2962
1.522593,1866
1.525503,931
1.528405,17287
1.531335,9620
1.534255,4700
1.537197,2331
1.540123,1341
1.543032,341
1.545993,14633
1.548908,6808
1.551843,4064
1.554767,2531
1.557692,1230
1.560603,6300
1.563522,11105
1.566437,6346
1.569355,3076
1.572308,1429
1.575232,1017
1.578202,465
1.581117,203
1.584037,36
1.586960,183
1.589870,93
1.592790,23
1.595712,0
1.598657,0
1.601572,0
1.604485,0
1.607493,79
1.610393,0
1.613343,0
1.616280,0
1.619197,0
1.622122,0
1.625035,29
1.627970,7809
1.630887,4575
1.633838,1844
1.636762,1014
1.639687,502
1.642630,443
1.645650,8278
1.648563,4537
1.651473,2140
1.654382,1228
1.657293,493
1.660210,412
1.663157,6978
1.666072,3396
1.668997,1827
1.671910,1091
1.674823,500
1.677775,7081
1.680687,4793
1.683608,2590
1.686518,880
1.689425,613
1.692330,363
1.695242,55
1.698203,0
1.701120,51
1.704035,55
1.706955,43
1.709865,0
1.712842,41
1.715757,0
1.718670,0
1.721607,0
1.724527,0
1.727490,0
1.730403,30
1.733348,0
1.736263,0
1.739177,0
1.742085,0
1.745008,102502
1.747967,55698
1.750888,28007
1.753803,14764
1.756770,6982
1.759677,3281
1.762607,82031
1.765530,45325
1.768452,23361
1.771362,13779
1.774295,6407
1.777200,29948
1.780112,69791
1.783072,34945
1.786038,19356
1.788948,8623
1.791872,4105
1.794793,98610
1.797723,62978
1.800640,32007
1.803547,14058
1.806470,7916
1.809382,4434
1.812297,2272
1.815253,1504
1.818205,669
1.821123,274
1.824037,183
1.826957,41
1.829890,0
1.832807,77
1.835738,0
1.838673,0
1.841590,0
1.844550,0
1.847463,0
1.850385,39
1.853328,69
1.856253,0
1.859173,0
1.862105,0
1.865037,0
1.867950,0
1.870863,0
1.873838,33
1.876758,48
1.879687,0
1.882597,0
1.885518,0
1.888485,0
1.891393,0
1.894322,0
1.897235,93
1.900137,0
1.903085,31
1.906012,0
1.908925,0
1.911983,0
1.914917,0
1.917825,28
1.920742,0
1.923693,0
1.926620,0
1.929545,0
1.932508,0
1.935435,0
1.938368,115
1.941282,0
1.944200,0
1.947102,0
1.950015,0
1.952937,0
1.955848,0
1.958803,0
1.961723,0
1.964702,0
1.967627,0
1.970552,0
1.973478,0
1.976402,0
1.979320,36
1.982233,0
1.985172,0
1.988080,0
1.990990,0
1.993998,0
1.996913,0
1.999837,0
2.002760,0
2.005697,0
2.008625,0
2.011548,0
2.014483,0
2.017417,0
2.020340,0
2.023293,0
2.026208,0
2.029168,0
2.032082,0
2.035007,0
2.037923,0
2.040862,0
2.043787,0
2.046715,0
2.049632,0
2.052598,0
2.055508,0
2.058437,0
2.061353,0
2.064300,38
2.067213,0
2.070127,0
2.073065,0
2.076000,0
2.079017,0
2.081955,0
2.084877,0
2.087788,0
2.090735,0
2.093670,0
2.096588,0
2.099545,0
2.102480,0
2.105392,0
2.108355,0
2.111292,0
2.114228,0
2.117138,0
2.120053,0
2.122972,0
2.125903,0
2.128817,0
2.131735,0
2.134730,62
2.137650,0
2.140572,0
