CHROMATOGRAM
(+)APCI_MOP_channel4_chain_3.raw
Data points: 678
Time,Intensity
0.000202,0
0.003123,0
0.006048,0
0.008977,0
0.011907,0
0.014873,0
0.017790,0
0.020735,0
0.023653,0
0.026573,0
0.029500,0
0.032400,0
0.035312,0
0.038222,0
0.041137,0
0.044052,40
0.046970,0
0.049960,0
0.052883,0
0.055793,0
0.058713,0
0.061630,0
0.064548,0
0.067457,0
0.070378,0
0.073302,0
0.076213,0
0.079183,0
0.082117,0
0.085092,0
0.088002,0
0.090922,0
0.093838,0
0.096758,0
0.099697,0
0.102615,0
0.105533,0
0.108442,0
0.111402,0
0.114333,0
0.117255,0
0.120215,0
0.123128,0
0.126045,0
0.128973,0
0.131907,0
0.134822,36
0.137735,0
0.140697,0
0.143618,0
0.146547,0
0.149462,0
0.152383,0
0.155337,0
0.158285,0
0.161192,0
0.164110,0
0.167038,0
0.170005,43519
0.172940,19620
0.175852,11425
0.178785,5878
0.181697,3256
0.184620,12786
0.187550,54300
0.190512,33239
0.193428,15713
0.196350,8983
0.199277,3707
0.202245,202162
0.205170,116935
0.208088,59442
0.211010,32605
0.213937,18618
0.216857,10078
0.219788,125119
0.222700,67619
0.225672,35132
0.228590,17313
0.231528,8978
0.234487,10917
0.237397,77852
0.240313,42333
0.243228,19496
0.246137,11938
0.249043,5597
0.251960,2760
0.254875,1538
0.257793,825
0.260740,541
0.263700,222
0.266622,212
0.269548,91
0.272478,179
0.275385,51
0.278302,48
0.281223,0
0.284148,0
0.287073,7916
0.289997,4070
0.292952,2084
0.295922,1014
0.298865,462
0.301782,7079
0.304710,6930
0.307623,3192
0.310553,1710
0.313472,1309
0.316383,466
0.319332,10520
0.322258,5229
0.325185,2817
0.328100,1457
0.331055,737
0.333963,187
0.336878,9155
0.339815,3410
0.342747,1956
0.345660,1004
0.348583,653
0.351548,261
0.354480,96
0.357413,25
0.360343,168
0.363260,0
0.366220,0
0.369158,0
0.372082,0
0.375002,0
0.377927,34
0.380880,0
0.383808,0
0.386733,0
0.389643,0
0.392562,0
0.395478,0
0.398418,0
0.401380,28143
0.404307,85717
0.407227,45783
0.410183,22867
0.413115,12672
0.416037,5524
0.418960,115666
0.421885,67146
0.424808,33608
0.427742,19997
0.430662,8790
0.433577,4805
0.436555,105579
0.439478,60523
0.442407,28874
0.445330,15423
0.448258,8791
0.451172,13484
0.454087,86884
0.457012,45769
0.459932,26208
0.462845,13304
0.465758,7524
0.468670,3929
0.471642,1997
0.474598,1098
0.477533,397
0.480443,391
0.483362,123
0.486280,111
0.489193,88
0.492107,79
0.495030,0
0.497942,0
0.500863,52
0.503825,0
0.506797,0
0.509722,0
0.512638,0
0.515548,52
0.518465,38326
0.521382,42447
0.524297,21291
0.527223,10059
0.530143,5275
0.533117,2749
0.536045,65659
0.538970,33437
0.541937,16781
0.544862,8083
0.547788,3567
0.550715,2615
0.553635,50756
0.556548,25766
0.559458,14449
0.562420,7775
0.565355,4113
0.568273,33288
0.571178,41843
0.574092,24845
0.577050,10350
0.579980,5779
0.582900,2073
0.585832,1240
0.588750,933
0.591727,507
0.594652,308
0.597570,340
0.600497,31
0.603410,0
0.606385,0
0.609308,0
0.612272,29
0.615197,49
0.618163,102
0.621078,0
0.624030,0
0.626955,88
0.629865,0
0.632780,0
0.635695,0
0.638612,0
0.641532,10719
0.644447,21988
0.647447,10860
0.650370,5408
0.653302,3021
0.656228,1719
0.659143,844
0.662065,415
0.664977,17116
0.667890,21044
0.670800,10287
0.673765,5536
0.676688,2177
0.679617,1288
0.682562,534
0.685483,171
0.688393,18388
0.691310,20160
0.694228,10818
0.697152,5421
0.700065,3427
0.703025,1377
0.705942,745
0.708862,265
0.711773,20777
0.714683,20276
0.717640,10722
0.720555,5050
0.723475,2684
0.726382,1389
0.729297,675
0.732273,367
0.735192,300
0.738122,85
0.741055,63
0.743980,43
0.746923,31
0.749842,0
0.752795,9
0.755725,0
0.758637,63
0.761615,0
0.764523,0
0.767438,0
0.770360,0
0.773385,25
0.776318,53
0.779247,0
0.782165,44
0.785078,15037
0.788078,8222
0.790993,5180
0.793907,1824
0.796815,896
0.799722,696
0.802632,255
0.805558,17075
0.808468,10556
0.811377,5846
0.814283,3360
0.817235,1625
0.820167,839
0.823140,289
0.826065,496
0.828975,14309
0.831893,5320
0.834823,3379
0.837728,1811
0.840657,905
0.843583,363
0.846508,227
0.849428,19379
0.852382,9136
0.855298,4578
0.858258,2282
0.861170,1017
0.864100,569
0.867020,205
0.869937,54
0.872858,137
0.875788,55
0.878727,0
0.881700,71
0.884622,0
0.887532,0
0.890442,44
0.893395,0
0.896318,0
0.899238,0
0.902162,0
0.905067,0
0.907993,0
0.910948,0
0.913873,0
0.916792,0
0.919703,5825
0.922630,19510
0.925560,10328
0.928512,6287
0.931420,3095
0.934338,1899
0.937253,893
0.940165,489
0.943115,27790
0.946032,12989
0.948953,7869
0.951862,3561
0.954783,1997
0.957708,1080
0.960622,907
0.963575,26431
0.966488,17829
0.969447,8877
0.972378,5318
0.975300,2432
0.978218,1425
0.981145,789
0.984060,261
0.986987,23588
0.989907,12324
0.992845,6485
0.995767,3173
0.998762,1491
1.001690,1458
1.004617,417
1.007543,224
1.010470,148
1.013392,124
1.016317,115
1.019233,0
1.022143,0
1.025058,0
1.028017,102
1.030947,29
1.033907,0
1.036823,0
1.039750,0
1.042662,0
1.045578,0
1.048483,44
1.051412,0
1.054338,55
1.057290,0
1.060205,0
1.063128,0
1.066048,0
1.069003,0
1.071922,0
1.074838,0
1.077760,0
1.080675,0
1.083592,99079
1.086515,50363
1.089440,23763
1.092408,13483
1.095335,6641
1.098280,3088
1.101207,1972
1.104155,952
1.107068,641
1.109990,354
1.112907,172
1.115817,29
1.118733,130
1.121695,0
1.124607,0
1.127530,42
1.130450,97806
1.133360,44183
1.136273,27353
1.139220,14086
1.142142,6780
1.145060,3157
1.147968,2070
1.150922,918
1.153843,661
1.156762,220
1.159678,136
1.162603,54
1.165507,0
1.168427,0
1.171340,108
1.174303,742
1.177220,94356
1.180135,47944
1.183067,24589
1.186028,13690
1.188940,6320
1.191845,3620
1.194772,1962
1.197707,956
1.200630,761
1.203547,218
1.206463,174
1.209408,70
1.212323,38
1.215253,0
1.218228,33
1.221145,6505
1.224078,82678
1.226995,43376
1.229933,25491
1.232855,12661
1.235780,6382
1.238698,3254
1.241622,1821
1.244578,942
1.247545,403
1.250463,185
1.253403,52
1.256335,126
1.259242,0
1.262163,31
1.265067,35
1.267983,0
1.270897,40
1.273833,0
1.276798,0
1.279755,0
1.282668,0
1.285575,0
1.288480,0
1.291398,0
1.294303,24
1.297230,0
1.300148,66024
1.303057,36330
1.306098,16992
1.309020,9681
1.311933,4449
1.314887,3004
1.317805,1173
1.320727,715
1.323640,373
1.326570,71561
1.329500,37313
1.332417,19649
1.335395,10168
1.338330,5200
1.341255,3060
1.344175,1283
1.347092,886
1.350058,254
1.352982,73845
1.355893,39231
1.358813,20696
1.361718,10726
1.364642,5868
1.367617,3080
1.370527,1552
1.373447,1027
1.376367,425
1.379287,86011
1.382212,43956
1.385172,21841
1.388102,11548
1.391015,6756
1.393938,2987
1.396897,1784
1.399810,583
1.402717,365
1.405635,318
1.408567,196
1.411485,160
1.414400,38
1.417318,0
1.420293,36
1.423222,0
1.426183,0
1.429097,0
1.432012,0
1.434927,0
1.437858,0
1.440775,0
1.443695,46
1.446617,0
1.449558,0
1.452472,0
1.455477,0
1.458392,58
1.461317,88
1.464223,29
1.467138,104341
1.470075,57905
1.473060,30079
1.475983,14296
1.478912,7719
1.481837,4013
1.484795,1561
1.487715,1191
1.490673,697
1.493583,205
1.496505,117
1.499425,108
1.502360,128612
