CHROMATOGRAM
(+)APCI_MOP_channel4_chain_0.raw
Data points: 952
Time	Intensity
0.000197	0
0.003147	0
0.006062	0
0.008978	0
0.011895	0
0.014802	0
0.017717	0
0.020637	0
0.023555	0
0.026507	0
0.029420	0
0.032363	18
0.035287	0
0.038198	0
0.041127	0
0.044043	0
0.046955	0
0.049875	0
0.052788	0
0.055705	0
0.058648	0
0.061798	0
0.064718	0
0.067650	50
0.070572	0
0.073485	0
0.076430	0
0.079347	0
0.082267	0
0.085193	0
0.088115	0
0.091030	0
0.093980	0
0.096925	0
0.099833	0
0.102750	0
0.105673	0
0.108617	0
0.111537	61
0.114440	0
0.117343	0
0.120248	0
0.123213	0
0.126130	0
0.129043	0
0.132015	0
0.134940	44
0.137855	0
0.140775	0
0.143693	0
0.146622	0
0.149532	0
0.152497	0
0.155437	52
0.158365	0
0.161282	0
0.164213	0
0.167167	59
0.170083	0
0.172998	0
0.175913	0
0.178862	0
0.181770	0
0.184697	0
0.187618	0
0.190543	0
0.193457	0
0.196372	0
0.199298	0
0.202257	0
0.205180	0
0.208150	0
0.211087	0
0.214015	0
0.216937	0
0.219865	0
0.222787	0
0.225708	0
0.228662	0
0.231587	0
0.234505	0
0.237500	0
0.240415	0
0.243352	0
0.246300	51
0.249227	0
0.252153	0
0.255083	0
0.257998	0
0.260913	0
0.263832	0
0.266797	48808
0.269698	24096
0.272673	11911
0.275628	5721
0.278552	2956
0.281465	6158
0.284385	68974
0.287310	35503
0.290242	17601
0.293157	9215
0.296125	4304
0.299035	205013
0.301960	123141
0.304887	75151
0.307858	39965
0.310783	20040
0.313702	11415
0.316640	145327
0.319548	75053
0.322473	41021
0.325435	20243
0.328348	10967
0.331277	6254
0.334195	87532
0.337130	48414
0.340048	22121
0.343008	12539
0.345942	6475
0.348865	4141
0.351827	1951
0.354742	757
0.357665	471
0.360593	273
0.363508	89
0.366442	50
0.369362	0
0.372278	0
0.375182	0
0.378137	0
0.381057	77
0.384030	0
0.386942	37
0.389855	91024
0.392767	45536
0.395673	23859
0.398590	12488
0.401500	6796
0.404408	3255
0.407338	2897
0.410267	875
0.413210	89429
0.416167	43131
0.419098	25927
0.422022	13177
0.424948	6300
0.427867	3116
0.430787	1981
0.433703	939
0.436612	82636
0.439540	45603
0.442503	19581
0.445425	11502
0.448393	6459
0.451305	3181
0.454237	1592
0.457152	691
0.460055	82736
0.462978	40627
0.465895	23437
0.468817	12148
0.471740	6116
0.474697	3055
0.477628	1620
0.480567	930
0.483537	413
0.486440	189
0.489370	273
0.492300	85
0.495283	34
0.498220	0
0.501148	0
0.504077	40
0.507023	0
0.509937	0
0.512888	8
0.515803	0
0.518757	0
0.521678	44
0.524610	0
0.527522	40
0.530445	0
0.533355	0
0.536325	0
0.539242	0
0.542188	33
0.545115	0
0.548043	0
0.550958	0
0.553908	0
0.556833	32
0.559745	9
0.562657	0
0.565577	0
0.568542	96414
0.571465	52595
0.574388	26827
0.577310	13327
0.580222	7309
0.583148	3585
0.586065	2086
0.589022	859
0.591930	724
0.594835	351
0.597765	235
0.600723	90
0.603632	101
0.606552	0
0.609477	50
0.612397	0
0.615305	0
0.618212	0
0.621122	0
0.624063	0
0.626992	98779
0.629908	46120
0.632883	25698
0.635813	12975
0.638718	6458
0.641640	3816
0.644568	2067
0.647485	1260
0.650403	485
0.653327	271
0.656240	116
0.659185	181
0.662100	131
0.665032	0
0.667982	48
0.670902	54
0.673807	0
0.676722	0
0.679672	37
0.682603	13
0.685533	91528
0.688467	45126
0.691388	24790
0.694375	12369
0.697330	6846
0.700255	3236
0.703172	2171
0.706087	1096
0.709017	439
0.711932	240
0.714848	137
0.717787	28
0.720715	0
0.723642	57
0.726608	0
0.729562	37
0.732483	0
0.735413	0
0.738338	0
0.741250	257
0.744162	82445
0.747075	45001
0.750000	23851
0.752933	11963
0.755860	6765
0.758818	3148
0.761743	1726
0.764707	791
0.767633	389
0.770552	242
0.773473	66
0.776392	0
0.779303	0
0.782217	76
0.785132	91
0.788103	51
0.791028	64
0.793955	0
0.796863	68
0.799830	0
0.802762	0
0.805675	0
0.808593	44
0.811505	0
0.814463	186538
0.817383	95356
0.820310	56209
0.823220	26806
0.826132	15952
0.829048	6800
0.831963	4033
0.834912	23275
0.837817	126087
0.840760	67796
0.843732	37645
0.846643	20676
0.849565	9553
0.852480	4989
0.855408	3075
0.858320	170673
0.861252	90053
0.864182	46673
0.867092	25369
0.870050	11988
0.872958	6809
0.875925	3502
0.878857	139622
0.881772	112432
0.884698	58665
0.887620	30741
0.890548	17536
0.893455	9151
0.896365	4558
0.899273	3016
0.902193	859
0.905203	426
0.908112	233
0.911025	249
0.913943	127
0.916853	176
0.919793	85
0.922718	73
0.925655	0
0.928617	82
0.931533	0
0.934503	0
0.937412	29
0.940368	35
0.943290	0
0.946203	30
0.949132	0
0.952065	39
0.955000	75
0.957913	0
0.960823	27
0.963798	0
0.966707	0
0.969628	0
0.972545	0
0.975487	0
0.978395	0
0.981312	853
0.984227	93305
0.987157	50308
0.990070	27032
0.993003	13682
0.995970	7343
0.998890	3182
1.001793	1132
1.004703	1121
1.007623	558
1.010583	506
1.013488	263
1.016408	93
1.019322	23
1.022227	0
1.025153	45
1.028137	6
1.031050	0
1.033968	29
1.036883	115828
1.039797	58934
1.042735	34326
1.045695	15758
1.048622	8809
1.051535	4802
1.054443	2373
1.057418	1093
1.060333	586
1.063238	345
1.066143	189
1.069060	66
1.071990	86
1.074903	0
1.077825	0
1.080773	0
1.083685	59
1.086600	0
1.089563	128569
1.092473	67986
1.095388	35285
1.098298	18027
1.101227	10292
1.104155	4175
1.107073	2658
1.109987	1593
1.112905	706
